date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:27:16	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2006%20Jun%202023%2009:27:16%20GMT	https://qingswap.com/robots.txt		(from )
09:27:19	24829/24829	U--MCZ	200	updated ('OK')	text/html	date:Tue,%2006%20Jun%202023%2009:27:17%20GMT	https://qingswap.com/	C:/My%20Web%20Sites/swap/qingswap.com/index.html	(from )
09:27:19	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2006%20Jun%202023%2009:27:19%20GMT	https://qingswap.com/index.html	C:/My%20Web%20Sites/swap/qingswap.com/index-2.html	(from https://qingswap.com/)
09:27:20	13581/13581	U-----	200	untouched ('')	image/png	date:Wed,%2008%20Mar%202023%2002:27:34%20GMT	https://qingswap.com/img/favicon.png	C:/My%20Web%20Sites/swap/qingswap.com/img/favicon.png	(from https://qingswap.com/)
09:27:20	193553/193553	U-----	200	untouched ('OK')	text/css	date:Wed,%2008%20Mar%202023%2002:27:34%20GMT	https://qingswap.com/css/bootstrap.min.css	C:/My%20Web%20Sites/swap/qingswap.com/css/bootstrap.min.css	(from https://qingswap.com/)
09:27:20	6951/6951	U-----	200	untouched ('OK')	text/css	date:Wed,%2008%20Mar%202023%2002:27:34%20GMT	https://qingswap.com/css/magnific-popup.css	C:/My%20Web%20Sites/swap/qingswap.com/css/magnific-popup.css	(from https://qingswap.com/)
09:27:21	31024/31024	U-----	200	untouched ('OK')	text/css	date:Wed,%2008%20Mar%202023%2002:27:34%20GMT	https://qingswap.com/css/font-awesome.min.css	C:/My%20Web%20Sites/swap/qingswap.com/css/font-awesome.min.css	(from https://qingswap.com/)
09:27:21	18592/18592	---MCZ	302	error ('Found')	text/html	date:Tue,%2006%20Jun%202023%2009:27:21%20GMT	https://qingswap.com/app/exchange.php	C:/My%20Web%20Sites/swap/qingswap.com/app/exchange.19.delayed	(from https://qingswap.com/)
09:27:21	16476/16476	U-----	200	untouched ('OK')	text/css	date:Wed,%2008%20Mar%202023%2002:27:34%20GMT	https://qingswap.com/css/themify-icons.css	C:/My%20Web%20Sites/swap/qingswap.com/css/themify-icons.css	(from https://qingswap.com/)
09:27:21	2937/2937	U-----	200	untouched ('OK')	text/css	date:Wed,%2008%20Mar%202023%2002:27:34%20GMT	https://qingswap.com/css/owl.carousel.min.css	C:/My%20Web%20Sites/swap/qingswap.com/css/owl.carousel.min.css	(from https://qingswap.com/)
09:27:21	0/-1	---M--	302	error ('')			https://qingswap.com/app/exchange.php	C:/My%20Web%20Sites/swap/qingswap.com/app/exchange.1b.delayed	(from https://qingswap.com/)
09:27:21	0/-1	---M--	302	error ('')			https://qingswap.com/app/exchange.php	C:/My%20Web%20Sites/swap/qingswap.com/app/exchange.1d.delayed	(from https://qingswap.com/)
09:27:21	4007/4007	U-----	200	untouched ('OK')	text/css	date:Wed,%2008%20Mar%202023%2002:27:34%20GMT	https://qingswap.com/css/nice-select.css	C:/My%20Web%20Sites/swap/qingswap.com/css/nice-select.css	(from https://qingswap.com/)
09:27:21	65754/65754	U-----	200	untouched ('OK')	text/css	date:Wed,%2008%20Mar%202023%2002:27:34%20GMT	https://qingswap.com/css/animate.css	C:/My%20Web%20Sites/swap/qingswap.com/css/animate.css	(from https://qingswap.com/)
09:27:21	4932/4932	U-----	200	untouched ('OK')	text/css	date:Wed,%2008%20Mar%202023%2002:27:34%20GMT	https://qingswap.com/css/slicknav.css	C:/My%20Web%20Sites/swap/qingswap.com/css/slicknav.css	(from https://qingswap.com/)
09:27:22	0/-1	---M--	302	error ('')			https://qingswap.com/app/exchange.php	C:/My%20Web%20Sites/swap/qingswap.com/app/exchange.1f.delayed	(from https://qingswap.com/)
09:27:22	1775/1775	U-----	200	untouched ('OK')	text/css	date:Wed,%2008%20Mar%202023%2002:27:34%20GMT	https://qingswap.com/css/slick.css	C:/My%20Web%20Sites/swap/qingswap.com/css/slick.css	(from https://qingswap.com/)
09:27:22	1169/1169	U-----	200	untouched ('OK')	text/css	date:Wed,%2008%20Mar%202023%2002:27:34%20GMT	https://qingswap.com/css/flaticon.css	C:/My%20Web%20Sites/swap/qingswap.com/css/flaticon.css	(from https://qingswap.com/)
09:27:22	12690/12690	U-----	200	untouched ('OK')	text/css	date:Wed,%2008%20Mar%202023%2002:27:34%20GMT	https://qingswap.com/css/jquery.animatedheadline.css	C:/My%20Web%20Sites/swap/qingswap.com/css/jquery.animatedheadline.css	(from https://qingswap.com/)
09:27:22	0/-1	---M--	302	error ('')			https://qingswap.com/app/exchange.php	C:/My%20Web%20Sites/swap/qingswap.com/app/exchange.21.delayed	(from https://qingswap.com/)
09:27:22	15510/15510	U-----	200	untouched ('OK')	text/css	date:Wed,%2008%20Mar%202023%2002:27:34%20GMT	https://qingswap.com/css/classy-nav.css	C:/My%20Web%20Sites/swap/qingswap.com/css/classy-nav.css	(from https://qingswap.com/)
09:27:22	0/-1	---M--	302	error ('')			https://qingswap.com/app/exchange.php	C:/My%20Web%20Sites/swap/qingswap.com/app/exchange.2b.delayed	(from https://qingswap.com/)
